build,status,completed_window,description,artifact_paths_or_links,recommended_destination
Jewel Core Pre-Canon,Completed,2026-05-08,"Castle-build canon brief audit log valuation model push manifest HubSpot import file","jewel-core-precanon.pplx.md; jewel-core-audit-log.csv; jewel-core-valuation-model.csv; jewel-core-push-manifest.json; hubspot-jewel-core-update-import.csv","Notion; GitHub; Drive; Docs; Sheets"
Neural Mapping x Marina Package,Completed,2026-05-06 to 2026-05-07,"Consent template report template program document consolidated packet convergence integration brief PDF/DOCX","past_session_contexts/sessions/2026-05-04_2026-05-10/4c5085bf/ai_outputs/","Drive; private GitHub; Notion client protocol index"
QuillCrown Literary Seat Crown Pass,Completed,2026-05-01 to 2026-05-07,"Literary Seat spec Crown Pass credential artifact Quill role spec design system Atelier HTML prototype","past_session_contexts/sessions/2026-05-04_2026-05-10/a9d8edaa/ai_outputs/","Drive; private GitHub; Notion canon construction index"
Crown Avatar House of Orange Upgrade,Completed,2026-05-01 to 2026-05-07,"Crown Avatar upgrade package for House of Orange narrative surface","Crown-Avatar-House-of-Orange-Upgrade.zip","Drive; private GitHub"
Cognitive Audit Intelligence Measure Refactor,Completed with next step pending,2026-05-06 to 2026-05-07,"Provenance Footer Detail Panel Cognitive Audit PDF export dashboard hierarchy widget states","Memory surfaced; no local asset in current asset index","Notion milestone; GitHub issue/task"
Neural Cartography Pipeline,Active recurring system,2026-05-08,"Daily Neural Cartography Miner Weekly Neural Capital Digest ARCHON Neural Capital Rubric database","Notion database 7494c2e9-b955-472e-99ed-ffcfcfbbbef3 data source a772b84a-879f-4094-a3f3-7b094e673145","Notion operating system; weekly digest"
Capitalism 10000,Completed wireframe funnel asset,2026-05-06,"v1 gated landing-page wireframe and layout template","Memory surfaced no local artifact in current asset index","Gated landing page; waitlist funnel roadmap"
ARCHON Psi Operating System,Live,Existing updated 2026-05-08,"Sessions Artifacts Claims Canon Ledger Neural Capital Rubric build logs","https://www.notion.so/336d23b00ab681febc94de923ec2f880","Notion parent"
JARVIS-Vault OS v1.1,Live sealed,2026-04-19 onward,"Deterministic cognitive OS with VOLT Q3.1 capital contract and ReAct logger","https://github.com/bhineswaveformer6/cortexchain-sovereign-builds/tree/main/JARVIS-Vault","Private GitHub archive"
Factorizer,Existing product surface,Existing surfaced 2026-05-08,"AI product intelligence and QTAC7-scored blueprint surface","https://github.com/bhineswaveformer6/factorizer; https://drive.google.com/file/d/1j2Y9gvvxS2KzzspN0TC1UoC2o9e3ByKb/view?usp=drivesdk","Public repo; Drive; product map"
Constellation OS CapitalFlowMatrix,Existing orchestration layer,Existing surfaced 2026-05-08,"Agent orchestration and capital workflow layer","https://github.com/bhineswaveformer6/constellation-os-capital","Private repo; product map"
